Date,Equity_Price,Equity_Volume,Bond_Price,Bond_Yield,FX_USDGBP,Oil_Price,Gold_Price
2024-01-02,4125,42000000,98.50,3.55,1.267,72.3,1845
2024-01-03,4152,41500000,98.30,3.58,1.264,73.1,1848
2024-01-04,4098,52500000,98.15,3.62,1.269,72.8,1839
2024-01-05,4082,54000000,98.22,3.60,1.271,73.4,1842
2024-01-08,4111,50000000,98.35,3.57,1.266,74.0,1847
2024-01-09,4133,48500000,98.50,3.54,1.260,74.3,1849
2024-01-10,4180,51000000,98.72,3.51,1.258,75.1,1854
2024-01-11,4171,50500000,98.63,3.53,1.261,74.8,1852
2024-01-12,4205,49000000,98.78,3.49,1.259,75.5,1858
2024-01-15,4217,48000000,98.90,3.47,1.256,76.2,1860